city,companyFullName,companyLabelList,companySize,education,financeStage,firstType,industryField,jobNature,latitude,longitude,positionAdvantage,positionId,positionLables,positionName,salary_high,salary_low,workYear,Salary
北京,光合新知（北京）科技有限公司,"['产品领先行业', '关注学习本源', '明星跨界团队', '股票期权']",150-500人,大专,B轮,开发/测试/运维类,"移动互联网,教育",全职,39.991999,116.500139,"免费早午餐,年假15天,指数级增长,数据量大",3983242,"['高级', '中级', '运营', '产品经理', '大数据']",数据分析,10,20,1-3年,15000
上海,上海倾听信息技术有限公司,"['明星直播', '男女1:1', '带薪年假', '扁平管理']",150-500人,本科,D轮及以上,产品/需求/项目类,移动互联网,全职,31.2181055,121.5312816,弹性工作，年轻化团队，行业领先平台,3986226,"['金融', '高级', '业务运营', '大数据', '数据挖掘']",数据分析师,15,25,3-5年,20000
天津,天津嘉业智德网络科技有限公司,"['带薪年假', '绩效奖金', '年度旅游', '岗位晋升']",500-2000人,本科,未融资,运营/编辑/客服,"数据服务,其他",全职,39.110442,117.180975,发展空间大,2707748,[],数据分析师,5,10,1-3年,7500
北京,蓝港在线（北京）科技有限公司,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",500-2000人,本科,上市公司,产品/需求/项目类,游戏,全职,40.01206006,116.47493,公司提供免费住宿和三餐，实习生有导师带领,4097854,"['游戏', '广告营销', '数据挖掘']",数据分析师,2,4,不限,3000
深圳,深圳盒子信息科技有限公司,"['技能培训', '俱乐部', '婚育礼金', '下午茶健身房']",500-2000人,本科,C轮,开发/测试/运维类,"移动互联网,金融",全职,22.523714,113.940802,"大牛聚集地,健身房,工作环境好",3655349,"['支付', '数据挖掘', 'SPSS']",数据分析师,15,25,5-10年,20000
北京,北京永洪商智科技有限公司,"['期权股激励', '领导好', '五险一金', '巨大成长空间']",150-500人,本科,C轮,产品/需求/项目类,企业服务、数据服务,全职,39.914005,116.452067,"大数据,C轮,BI,年终奖",4008617,"['金融', '资深', '高级', '大数据', 'BI']",数据分析师,20,25,5-10年,22500
上海,拉扎斯网络科技（上海）有限公司,"['节日礼物', '绩效奖金', '年度旅游', '岗位晋升']",2000人以上,本科,D轮及以上,产品/需求/项目类,移动互联网,全职,31.23297317,121.3814514,团队给力，领导nice,3472798,"['资深', '大数据']",数据分析师,20,30,1-3年,25000
北京,北京因果树网络科技有限公司,"['技能培训', '节日礼物', '股票期权', '带薪年假']",50-150人,本科,B轮,开发/测试/运维类,金融,全职,39.984791,116.306683,"模型专家,数据大师",3891140,"['金融', '行业研究']",高级数据分析师,10,20,3-5年,15000
上海,蜜柚网络科技（上海）有限公司,"['技能培训', '节日礼物', '股票期权', '带薪年假']",150-500人,本科,不需要融资,运营/编辑/客服,"社交网络,文化娱乐",全职,30.994275,121.99341,"氛围好,福利多,欢乐多,逼格高",3424873,"['高级', '大数据', '数据挖掘']",数据分析师-运营方向,8,10,不限,9000
北京,中诚信征信有限公司,[],150-500人,硕士,不需要融资,开发/测试/运维类,"移动互联网,金融",全职,39.921853,116.420489,"五险一金,免费午餐,下午茶,独立四合院",3403083,"['金融', '征信', '大数据']",数据分析师（风控建模方向）,15,30,1-3年,22500
上海,上海画龙信息科技有限公司,"['年底四薪', '股票期权', '带薪年假', '五险一金']",15-50人,本科,A轮,产品/需求/项目类,"数据服务,广告营销",全职,31.187368,121.430795,一流的团队实力，完善的员工成长计划+平台,4046891,"['商业', '大数据', 'SQL', 'R', 'python']",高级数据分析师,10,20,3-5年,15000
成都,广东鸿特普惠信息服务有限公司,"['年底双薪', '带薪年假', '美女多', '五险一金']",2000人以上,大专,D轮及以上,产品/需求/项目类,金融,全职,30.568738,104.063117,"周末双休,五险一金,节日福利,带薪年假",3339000,"['金融', '统计']",数据分析专员(成都）,3,5,1-3年,4000
北京,京东金融,"['供应链金融', '消费金融', '众筹业务', '支付业务']",2000人以上,本科,上市公司,开发/测试/运维类,金融,全职,39.82198934,116.5211776,餐补+年终奖+好的晋升空间,3061464,"['支付', '大数据', '数据挖掘']",高级数据分析师,20,30,5-10年,25000
