city,companyFullName,companyLabelList,companySize,education,financeStage,firstType,industryField,jobNature,latitude,longitude,positionAdvantage,positionId,positionLables,positionName,salary,workYear
南京,南京领添信息技术有限公司,"['节日礼物', '股票期权', '带薪年假', '绩效奖金']",500-2000人,本科,C轮,开发/测试/运维类,"移动互联网,电子商务",全职,31.974161,118.755224,"GA,分析,方案,五险一金",2788007,['电商'],数据分析,4k-6k,1-3年
广州,三七互娱（上海）科技有限公司,"['绩效奖金', '五险一金', '通讯津贴', '交通补助']",2000人以上,本科,上市公司,产品/需求/项目类,游戏,全职,22.994261,112.993461,"上市公司,福利待遇好,晋升制度全",3127749,"['广告营销', '投放', 'SEM']",数据分析专员,6k-10k,1-3年
北京,北京每日优鲜电子商务有限公司,"['节日礼物', '岗位晋升', '管理规范', '五险一金']",500-2000人,不限,C轮,开发/测试/运维类,"移动互联网,电子商务",全职,39.986108,116.479363,领导好，扁平管理，技能培训，晋升空间大,3784271,"['高级', '中级']",数据分析工程师／数据挖掘工程师,15k-30k,1-3年
深圳,深圳市赢众通金融信息服务有限责任公司,"['五险一金', '两餐补助', '超低息员工贷', '年底奖金']",500-2000人,本科,B轮,产品/需求/项目类,金融,全职,22.519682,113.94225,五险一金、带薪年假、绩效奖金,4121710,"['运营', 'SPSS']",数据分析,10k-20k,1-3年
厦门,北京三快在线科技有限公司,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",2000人以上,本科,D轮及以上,开发/测试/运维类,"移动互联网,O2O",全职,24.474308,118.190399,"共享经济,气氛活跃",3853137,"['支付', '数据挖掘']",高级数据分析师,25k-35k,3-5年
北京,北京汉迪移动互联网科技股份有限公司,"['""""']",150-500人,本科,不需要融资,产品/需求/项目类,"移动互联网,社交网络",全职,39.992408,116.339299,"硅谷式办公,广阔平台,弹性工作制,时令水果",4118449,"['广告营销', '专员', '业务运营', 'SPSS']",数据分析,8k-15k,不限
上海,上海恺英网络科技有限公司,"['游戏公司', '页游', '手游', '互联网']",500-2000人,本科,上市公司,开发/测试/运维类,"移动互联网,游戏",全职,31.09646955,121.50669968,五险一金、节日福利、绩效奖金、年终奖金,4060075,[],数据分析师,12k-20k,1-3年
苏州,同程网络科技股份有限公司,"['绩效奖金', '股票期权', '年底双薪', '五险一金']",2000人以上,本科,D轮及以上,产品/需求/项目类,"旅游,电子商务",全职,31.251433,120.730799,五险一金 年终奖 节日福利 带薪假期,3759386,[],数据分析,6k-12k,1-3年
深圳,腾讯科技(深圳)有限公司,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,本科,上市公司,开发/测试/运维类,"移动互联网 ,游戏",全职,22.541047,113.932749,公司平台大，福利待遇好,3383251,"['高级', '数据挖掘']",数据分析开发工程师（深圳）,15k-30k,3-5年
北京,上海一起作业信息科技有限公司,"['节日礼物', '岗位晋升', '扁平管理', '领导好']",500-2000人,本科,D轮及以上,运营/编辑/客服,"移动互联网,教育",全职,40.000825,116.486624,"与大牛共事,竞争薪酬,竞争福利,六险一金",3386035,"['高级', '专员', '运营', 'SQL']",平台业务--资深数据分析,10k-20k,1-3年
上海,北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",500-2000人,硕士,C轮,产品/需求/项目类,"移动互联网,数据服务",全职,31.157779,31.157779,弹性工作，晋升空间，团队氛围好,4102375,[],高级数据分析师,15k-30k,3-5年
广州,广州舜飞信息科技有限公司,"['迟到不要钱', '吃肉不要钱', 'Xbox免费', '零食不要钱']",150-500人,本科,未融资,运营/编辑/客服,移动互联网,全职,23.12631968,113.38962963,数据控的黄金职业~~,4000567,"['广告营销', '广告投放', 'SEM']",广告优化/数据分析师,8k-15k,1年以下
广州,三七互娱（上海）科技有限公司,"['绩效奖金', '五险一金', '通讯津贴', '交通补助']",2000人以上,本科,上市公司,产品/需求/项目类,游戏,全职,22.994261,112.993461,"上市公司,平台好",3109374,"['大数据', '数据挖掘']",数据分析师（海外运营）,10k-15k,不限
